Region,Country,Year,Month_nbr,Quarter_desc,Month_desc,Product_line,Sale_Amount,Sale_Plan
America,Mexico,1960,1,Q1,January,Electronics,792,7145
America,Mexico,1961,1,Q1,January,Electronics,928,8014
America,Mexico,1962,1,Q1,January,Hardware,847,5731
America,Mexico,1963,1,Q1,January,Computers,823,5283
America,Mexico,1964,1,Q1,January,Furniture,682,1207
America,Mexico,1965,1,Q1,January,Home,783,4717
America,Mexico,1966,1,Q1,January,Grossery,919,7827
America,Mexico,1967,1,Q1,January,Electronics,260,9559
America,Mexico,1968,1,Q1,January,Electronics,489,7912
America,Mexico,1969,1,Q1,January,Hardware,985,9133
America,Mexico,1970,1,Q1,January,Computers,666,1105
America,Mexico,1971,1,Q1,January,Furniture,990,4048
America,Mexico,1972,1,Q1,January,Home,259,2207
America,Mexico,1973,1,Q1,January,Grossery,496,4955
America,Mexico,1974,1,Q1,January,Electronics,216,3326
America,Mexico,1975,1,Q1,January,Electronics,406,2170
America,Mexico,1976,1,Q1,January,Hardware,777,1886
America,Mexico,1977,1,Q1,January,Computers,903,9365
America,Mexico,1978,1,Q1,January,Furniture,893,2196
America,Mexico,1979,1,Q1,January,Home,481,5183
America,Mexico,1980,1,Q1,January,Grossery,127,1834
America,Mexico,1981,1,Q1,January,Electronics,421,3156
America,Mexico,1982,1,Q1,January,Electronics,741,7914
America,Mexico,1983,1,Q1,January,Hardware,118,1503
America,Mexico,1984,1,Q1,January,Computers,758,1136
America,Mexico,1985,1,Q1,January,Furniture,897,6075
America,Mexico,1986,1,Q1,January,Home,219,6399
America,Mexico,1987,1,Q1,January,Grossery,768,580
America,Mexico,1988,1,Q1,January,Electronics,428,1586
America,Mexico,1989,1,Q1,January,Electronics,854,8904
America,Mexico,1990,1,Q1,January,Hardware,673,561
America,Mexico,1991,1,Q1,January,Computers,794,5594
America,Mexico,1992,1,Q1,January,Furniture,304,7394
America,Mexico,1993,1,Q1,January,Home,620,8989
America,Mexico,1994,1,Q1,January,Grossery,841,3111
America,Mexico,1995,1,Q1,January,Electronics,364,9540
America,Mexico,1996,1,Q1,January,Electronics,177,4081
America,Mexico,1997,1,Q1,January,Hardware,202,2051
America,Mexico,1998,1,Q1,January,Computers,294,7949
America,Mexico,1999,1,Q1,January,Furniture,530,2757
America,Mexico,2000,1,Q1,January,Home,546,2281
America,Mexico,2001,1,Q1,January,Grossery,595,1782
America,Mexico,2002,1,Q1,January,Electronics,133,6059
America,Mexico,2003,1,Q1,January,Electronics,206,454
America,Mexico,2004,1,Q1,January,Hardware,428,1940
America,Mexico,2005,1,Q1,January,Computers,554,4287
America,Mexico,2006,1,Q1,January,Furniture,741,3825
